NonZombie,Zombie,address,IsZombie
0.377165595,0.622834405,13 GEARY,Y
0.868632841,0.131367159,1291 BROADWAY,N
0.924047353,0.075952647,1287 NIAGARA,N
0.869596254,0.130403746,1281 HERTEL,N
0.466102364,0.533897636,128 HERKIMER,Y
0.269409114,0.730590886,1270 BROADWAY,Y
0.220955047,0.779044953,127 SPRENGER,Y
0.22808139,0.77191861,127 NORWOOD,Y
0.877760553,0.122239447,127 HIRSCHBECK,N
0.723820383,0.276179617,1261 FILLMORE,N
0.293204447,0.706795553,126 RAMONA,Y
0.050852907,0.949147093,1259 WEST,Y
0.237237386,0.762762614,125 SCHUELE,Y
0.159749329,0.840250671,125 HAMLIN,Y
0.412013224,0.587986776,1234 HERTEL,Y
0.219021408,0.780978592,123 DOWNING,Y
0.947510739,0.052489261,1221 CLINTON,N
0.316357666,0.683642334,1220 HERTEL,Y
0.404656449,0.595343551,122 SHERMAN,Y
0.564268886,0.435731114,122 AUSTIN,N
0.958672996,0.041327004,1219 MAIN,N
0.958672996,0.041327004,121 CONGRESS,N
0.160268614,0.839731386,121 BENZINGER,Y
0.895534997,0.104465003,1201 BROADWAY,N
0.885172416,0.114827584,119 WESTMINSTER,N
0.361299799,0.638700201,1183 BAILEY,Y
0.877747718,0.122252282,118 GOETHE,N
0.933778999,0.066221001,1175 HERTEL,N
0.284638684,0.715361316,117 HOWELL,Y
0.798078428,0.201921572,117 COLVIN,N
0.885172416,0.114827584,1160 KENMORE,N
0.950714628,0.049285372,115 FLEMING,N
0.885172416,0.114827584,115 CLARE,N
0.31461684,0.68538316,1148 BAILEY,Y
0.946970836,0.053029164,1144 MICHIGAN,N
0.389027209,0.610972791,114 TYLER,Y
0.716378421,0.283621579,114 LONSDALE,N
0.265233401,0.734766599,114 DEERFIELD,Y
0.814014984,0.185985016,1131 JEFFERSON,N
0.29406469,0.70593531,113 KAIL,Y
0.936272664,0.063727336,113 INDIAN,N
0.91080153,0.08919847,1124 WEST,N
0.862413403,0.137586597,112 POOLEY,N
0.894143699,0.105856301,1119 GENESEE,N
0.111229467,0.888770533,1106 MAIN,Y
0.957119354,0.042880646,110 POULTNEY,N
0.869596254,0.130403746,110 GRANT,N
0.09129989,0.90870011,110 FAY,Y
0.310728458,0.689271542,11 CALIFORNIA,Y
0.908754307,0.091245693,1070 KENMORE,N
0.607216706,0.392783294,107 MANHART,N
0.616953173,0.383046827,107 HERKIMER,N
0.310728458,0.689271542,107 GERMAIN,Y
0.31461684,0.68538316,106 WINSPEAR,Y
0.632585173,0.367414827,1050 ELMWOOD,N
0.958672996,0.041327004,105 HAMILTON,N
0.950702996,0.049297004,104 HUMASON,N
0.870066583,0.129933417,104 ELLER,N
0.216667533,0.783332467,1037 SENECA,Y
0.124409737,0.875590263,1036 KENSINGTON,Y
0.172576869,0.827423131,103 THOMPSON,Y
0.768350663,0.231649337,1010 KENSINGTON,N
0.157888587,0.842111413,1005 GRANT,Y
0.824493127,0.175506873,1002 GRANT,N
0.946365037,0.053634963,100 FOREST,N
0.815415074,0.184584926,10 SWINBURNE,N
0.832409939,0.167590061,1 CLIFFORD,N
